,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
7560,Miyagi,"14 March,2012",,Miyagi,"Offshore
Pacific Ocean","20 February,2012",______,"Yellowfin tuna
(Thunnus albacares)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2012,20
8300,Miyagi,"28 March,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Yellowfin tuna
(Thunnus albacares)",,0.43,Not detectable,,Japan Chemical Analysis Center,0.43,ND,pelagic,s,f,_,_
8432,Miyagi,"30 March,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Yellowfin tuna
(Thunnus albacares)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,pelagic,s,f,_,_
3222,Niigata,"26 October,2011",,Niigata,Niigata City (Shinano River) (inland waters),"24 October,2011",_________,Chum salmon (Oncorhynchus keta) (Edible part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,24
3722,Niigata,"9 November ,2011",,Niigata,Shibata City (Kajigawa River) (inland waters),"5 November,2011",_________,Chum salmon (Oncorhynchus keta) (Edible part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,5 
4093,Niigata,"23 November ,2011",,Niigata,Niigata City (Agano River) (inland waters),"15 November ,2011",_________,Chum salmon (Oncorhynchus keta) (Edible part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,15
2455,Fukushima,"5 October,2011",,Fukushima,Iwaki City,"3 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,3 
2513,Fukushima,"5 October,2011",,Fukushima,Minami-soma City (Niida River) (inland waters),"3 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,3 
2715,Fukushima,"12 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"5 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
2719,Fukushima,"12 October,2011",,Fukushima,Fukushima City (Abukuma River) (inland waters),"7 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,7 
2863,Fukushima,"19 October,2011",,Fukushima,Iwaki City,"17 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,17
2901,Fukushima,"19 October,2011",,Fukushima,Minami-soma City,"14 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
2964,Fukushima,"19 October,2011",,Fukushima,Minami-soma city (Mano River) (inland waters),"16 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,16
2967,Fukushima,"19 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"15 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,15
3198,Fukushima,"26 October,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"24 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,24
3439,Fukushima,"2 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"31 October,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,31
3659,Fukushima,"9 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"5 November ,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
4189,Fukushima,"24 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"21 November ,2011",________,Chum salmon (Oncorhynchus keta) (milt),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,21
2510,Fukushima,"5 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"2 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,2 
2512,Fukushima,"5 October,2011",,Fukushima,Minami-soma City (Niida River) (inland waters),"3 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,3 
2638,Fukushima,"12 October,2011",,Fukushima,Iwaki City,"6 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,6 
2714,Fukushima,"12 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"5 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
2718,Fukushima,"12 October,2011",,Fukushima,Fukushima City (Abukuma River) (inland waters),"7 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,7 
2862,Fukushima,"19 October,2011",,Fukushima,Iwaki City,"17 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,17
2898,Fukushima,"19 October,2011",,Fukushima,Hirono Town,"17 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,17
2900,Fukushima,"19 October,2011",,Fukushima,Minami-soma City,"14 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
2961,Fukushima,"19 October,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"15 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,15
2966,Fukushima,"19 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"15 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,15
3101,Fukushima,"26 October,2011",,Fukushima,Iwaki City,"24 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,24
3147,Fukushima,"26 October,2011",,Fukushima,Minami-soma City,"20 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,20
3197,Fukushima,"26 October,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"24 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,24
3364,Fukushima,"2 November ,2011",,Fukushima,Iwaki City,"31 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,31
3438,Fukushima,"2 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"31 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,31
3441,Fukushima,"2 November ,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"29 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),,8,Not detectable,,"Fukushima Agricultural Technology
Centre",8,ND,pelagic,s,f,2011,29
3443,Fukushima,"2 November ,2011",,Fukushima,Fukushima City (Abukuma River) (inland waters),"30 October,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,30
3572,Fukushima,"9 November ,2011",,Fukushima,Iwaki City,"7 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,7 
3616,Fukushima,"9 November ,2011",,Fukushima,Minami-soma City,"5 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
3658,Fukushima,"9 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"5 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
3854,Fukushima,"16 November ,2011",,Fukushima,Iwaki City,"14 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
3900,Fukushima,"16 November ,2011",,Fukushima,Shinchi Town,"11 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,11
3948,Fukushima,"16 November ,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"14 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
3950,Fukushima,"16 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"14 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
4188,Fukushima,"24 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"21 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,21
4395,Fukushima,"30 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"28 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,28
4396,Fukushima,"30 November ,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"28 November ,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,28
4571,Fukushima,"7 December,2011",,Fukushima,Minami-soma city (Mano River) (inland waters),"5 December,2011",________,Chum salmon (Oncorhynchus keta) (muscle),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
2456,Fukushima,"5 October,2011",,Fukushima,Iwaki City,"3 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,3 
2511,Fukushima,"5 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"2 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,2 
2639,Fukushima,"12 October,2011",,Fukushima,Iwaki City,"6 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,6 
2716,Fukushima,"12 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"5 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
2864,Fukushima,"19 October,2011",,Fukushima,Iwaki City,"17 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,17
2899,Fukushima,"19 October,2011",,Fukushima,Hirono Town,"17 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,17
2902,Fukushima,"19 October,2011",,Fukushima,Minami-soma City,"14 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
2962,Fukushima,"19 October,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"15 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,15
2965,Fukushima,"19 October,2011",,Fukushima,Minami-soma city (Mano River) (inland waters),"16 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,16
2968,Fukushima,"19 October,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"15 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,15
3102,Fukushima,"26 October,2011",,Fukushima,Iwaki City,"24 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,24
3365,Fukushima,"2 November ,2011",,Fukushima,Iwaki City,"31 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,31
3440,Fukushima,"2 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"31 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,31
3442,Fukushima,"2 November ,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"29 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,29
3444,Fukushima,"2 November ,2011",,Fukushima,Fukushima City (Abukuma River) (inland waters),"30 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,30
3507,Iwate,"4 November ,2011",,Iwate,"Offshore
Kuji City","31 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3508,Iwate,"4 November ,2011",,Iwate,"Offshore
Miyako City","31 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3509,Iwate,"4 November ,2011",,Iwate,"Offshore
Kamaishi City","31 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3510,Iwate,"4 November ,2011",,Iwate,"Offshore
Ofunato City","31 October,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,31
3573,Fukushima,"9 November ,2011",,Fukushima,Iwaki City,"7 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,7 
3660,Fukushima,"9 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"5 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,5 
3703,Miyagi,"9 November ,2011",,Miyagi,"Offshore southern
Sanriku Region","1 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,1 
3770,Iwate,"11 November ,2011",,Iwate,"Offshore
Miyako City","7 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
3771,Iwate,"11 November ,2011",,Iwate,"Offshore
Kamaishi City","8 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
3772,Iwate,"11 November ,2011",,Iwate,"Offshore
Ofunato City","7 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
3949,Fukushima,"16 November ,2011",,Fukushima,Iwaki City (Natsui River) (inland waters),"14 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
3951,Fukushima,"16 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"14 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,14
4040,Iwate,"18 November ,2011",,Iwate,"Offshore
Kuji City","15 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,15
4041,Iwate,"18 November ,2011",,Iwate,"Offshore
Miyako City","14 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,14
4043,Iwate,"18 November ,2011",,Iwate,"Offshore
Ofunato City","14 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,14
4190,Fukushima,"24 November ,2011",,Fukushima,Soma city (Udagawa River) (inland waters),"21 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,"Fukushima Agricultural Technology
Centre",ND,ND,pelagic,s,f,2011,21
4238,Miyagi,"24 November ,2011",,Miyagi,"Offshore southern
Sanriku Region","14 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,14
4277,Iwate,"25 November ,2011",,Iwate,"Offshore
Kamaishi City","21 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4278,Iwate,"25 November ,2011",,Iwate,"Offshore
Ofunato City","21 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,21
4468,Iwate,"2 December,2011",,Iwate,"Offshore
Miyako City","28 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,28
4469,Iwate,"2 December,2011",,Iwate,"Offshore
Kamaishi City","29 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,29
4470,Iwate,"2 December,2011",,Iwate,"Offshore
Ofunato City","28 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,28
4606,Miyagi,"7 December,2011",,Miyagi,"Offshore southern
Sanriku Region","30 November ,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,30
4634,Iwate,"9 December,2011",,Iwate,"Offshore
Kuji City","8 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
4635,Iwate,"9 December,2011",,Iwate,"Offshore
Miyako City","7 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
4636,Iwate,"9 December,2011",,Iwate,"Offshore
Kamaishi City","8 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,8 
4637,Iwate,"9 December,2011",,Iwate,"Offshore
Ofunato City","7 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,7 
4819,Iwate,"16 December,2011",,Iwate,"Offshore
Kuji City","13 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
4820,Iwate,"16 December,2011",,Iwate,"Offshore
Miyako City","12 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,12
4822,Iwate,"16 December,2011",,Iwate,"Offshore
Ofunato City","12 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,12
4947,Miyagi,"21 December,2011",,Miyagi,"Offshore southern
Sanriku Region","13 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,13
4993,Iwate,"22 December,2011",,Iwate,"Offshore
Kuji City","19 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4994,Iwate,"22 December,2011",,Iwate,"Offshore
Iwaizumi Town","19 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4995,Iwate,"22 December,2011",,Iwate,"Offshore
Kamaishi City","19 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
4996,Iwate,"22 December,2011",,Iwate,"Offshore
Ofunato City","19 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,19
5250,Iwate,"13 January,2012",,Iwate,"Offshore
Iwaizumi Town","9 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,9 
5251,Iwate,"13 January,2012",,Iwate,"Offshore
Kamaishi City","9 December,2011",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,9 
5456,Iwate,"20 January,2012",,Iwate,"Offshore
Iwaizumi Town","16 January,2012",________,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2012,16
2828,Niigata,"15 October,2011",,Niigata,Neya Fishing Port,"12 October,2011",_________,Chum salmon (Oncorhynchus keta) (Visceral part),Not detectable,,Not detectable,,"Niigata Prefecture Radiation Monitoring
Center",ND,ND,pelagic,s,f,2011,12
3223,Niigata,"26 October,2011",,Niigata,Niigata City (Shinano River) (inland waters),"24 October,2011",_________,Chum salmon (Oncorhynchus keta) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,24
3723,Niigata,"9 November ,2011",,Niigata,Shibata City (Kajigawa River) (inland waters),"5 November,2011",_________,Chum salmon (Oncorhynchus keta) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,5 
4094,Niigata,"23 November ,2011",,Niigata,Niigata City (Agano River) (inland waters),"15 November ,2011",_________,Chum salmon (Oncorhynchus keta) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,15
4653,Niigata,"9 December,2011",,Niigata,Kashiwazaki City (Tanne River) (inland waters),"5 December,2011",_________,Chum salmon (Oncorhynchus keta) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,pelagic,s,f,2011,5 
2063,Ibaraki,"17 September,2011",,Ibaraki,"Nakagawa River
(inland waters)","15 September,2011",__,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,pelagic,s,f,2011,15
2066,Ibaraki,"17 September,2011",,Ibaraki,"Kujigawa River
(inland waters)","15 September,2011",__,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,pelagic,s,f,2011,15
2624,Aomori,"11 October,2011",,Aomori,Offshore Higashi-dori Village,"3 October,2011",__,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,3 
2733,Ibaraki,"12 October,2011",,Ibaraki,"Nakagawa River
(inland waters)","8 October,2011",__,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",ND,ND,pelagic,s,f,2011,8 
5081,Aomori,"27 December,2011",,Aomori,Offshore Misawa,"20 December,2011",__,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,2011,20
113,Hokkaido,"18 April, 2011",,Hokkaido,"Pacific Ocean, Offshore Hokkaido","15 April, 2011",____,"Chum salmon
(Oncorhynchus keta)",,0.45,Not detectable,,Hokkaido Institute of Public Health,0.45,ND,pelagic,s,f,2011,15
368,Hokkaido,"24 May, 2011",,Hokkaido,"Pacific Ocean, Offshore Hokkaido and Tohoku
(N39¡ 17_E145¡
30)","19 May, 2011",____,"Chum salmon
(Oncorhynchus keta)",,3.95,Not detectable,,Hokkaido Institute of Public Health,3.95,ND,pelagic,s,f,2011,19
