,Press release,,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
8297,Miyagi,"28 March,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Bigeye tuna
(Thunnus obesus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,pelagic,s,f,_,_
8433,Miyagi,"30 March,2012",,Miyagi,"Offshore
Pacific Ocean",_,______,"Bigeye tuna
(Thunnus obesus)",,0.57,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.57,ND,pelagic,s,f,_,_
2520,Ibaraki,"5 October,2011",,Ibaraki,"Offshore
Kita-ibaraki City","4 October,2011","_______
_______",Bluefin tuna (Thunnus thynnus) juvenile,,33,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",33,ND,pelagic,s,f,2011,4 
2632,Fukushima,"12 October,2011",,Fukushima,Iwaki City,"5 October,2011","_______
_______",Bluefin tuna (Thunnus thynnus) juvenile,,32,Not detectable,,"Fukushima Agricultural Technology
Centre",32,ND,pelagic,s,f,2011,5 
3078,Ibaraki,"24 October,2011",,Ibaraki,"Offshore
Tokai Village","19 October,2011","_______
_______",Bluefin tuna (Thunnus thynnus) juvenile,,23,Not detectable,,Japan Chemical Analysis Center,23,ND,pelagic,s,f,2011,19
1735,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","2 September,2011",,Ibaraki (Landing port) Shiogama Fishing Port in Miyagi,"20 km offshore Ibaraki
(N36¡23ÕE141¡18)","23 August, 2011",_____,"Bluefin tuna
(Thunnus thynnus)",,15.2,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",15.2,ND,pelagic,s,f,2011,23
2448,Fukushima,"5 October,2011",,Fukushima,Iwaki City,"1 October,2011","_____
_______","Bluefin tuna
(Thunnus thynnus)",,24,Not detectable,,"Fukushima Agricultural Technology
Centre",24,ND,pelagic,s,f,2011,1 
2449,Fukushima,"5 October,2011",,Fukushima,Iwaki City,"2 October,2011","_____
_______","Bluefin tuna
(Thunnus thynnus)",,41,Not detectable,,"Fukushima Agricultural Technology
Centre",41,ND,pelagic,s,f,2011,2 
3095,Fukushima,"26 October,2011",,Fukushima,Iwaki City,"23 October,2011","_____
_______","Bluefin tuna
(Thunnus thynnus)",,28,Not detectable,,"Fukushima Agricultural Technology
Centre",28,ND,pelagic,s,f,2011,23
3354,Fukushima,"2 November ,2011",,Fukushima,Iwaki City,"30 October,2011","_____
_______","Bluefin tuna
(Thunnus thynnus)",,25.7,Not detectable,,"Fukushima Agricultural Technology
Centre",25.7,ND,pelagic,s,f,2011,30
2989,Ibaraki,"17 October,2011",,Ibaraki,"Offshore
Kita-ibaraki City","12 October,2011",_____,"Bluefin tuna
(Thunnus thynnus)",,26,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",26,ND,pelagic,s,f,2011,12
2010,Ibaraki,"14 September,2011",,Ibaraki,"Offshore
Kita-ibaraki City","13 September,2011","_______
_______","Bluefin tuna
(Thunnus thynnus)
juvenile",,29,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",29,ND,pelagic,s,f,2011,13
1623,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"26 August, 2011",,Ibaraki (Landing port Choshi Fishing Port in Chiba),80 km offshore Ibaraki (N36o20' E141o20),"23 August, 2011",___,"Skipjack tuna (Katsuwonus pelamis)
(Katsuwonus pelamis)",,19.8,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",19.8,ND,pelagic,s,f,2011,23
1627,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"29 August, 2011",,Ibaraki (Landing port) Kesennuma Fishing Port in Miygai,60 km offshore Ibaraki (N36o10' E141o10),"23 August, 2011",___,"Skipjack tuna (Katsuwonus pelamis)
(Katsuwonus pelamis)",,20.7,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",20.7,ND,pelagic,s,f,2011,23
47,Chiba,"7,April, 2011",,Chiba,Iwawada,"5,April, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",33,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",33,ND,pelagic,s,f,2011,"5,"
105,Chiba,"15,April, 2011",,Chiba,Katsuura toubu,"13 April, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,13
239,Chiba,"10 May, 2011",,Chiba,Katsuura toubu,"6 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,6 
336,Federation of North Pacific District Purse Seine Fisheries Co-operative Associations of Japan,"19 May, 2011",,(Landing port) Choshi Fishing Port in Chiba,Offshore Pacific Ocean (N324¡_E138¡),"16 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,16
349,National Offshore Tuna Fisheries Association of Japan,"20 May, 2011",,Chiba,Katsuura,"17 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,17
377,Miyazaki,"25 May, 2011",,Miyazaki,Offshore Pacific Ocean (N34¡57_E142¡47),"18 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,18
378,National Offshore Tuna Fisheries Association of Japan,"25 May, 2011",,(Landing port) Chiba-katsuura Fishing Port in Chiba,"Offshore Pacific
Ocean
(N35¡ 0_E143¡ 20)","22 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,22
439,"Federation of
North Pacific
District Purse
Seine Fisheries
Co-operative
Associations of
Japan","27 May, 2011",,(Landing port) Choshi Fishing Port in Chiba,"Offshore Pacific
Ocean
(N32¡ 20_E139¡
30)","22 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,22
440,Miyazaki,"27 May, 2011",,Miyazaki,"Offshore Pacific
Ocean
(N36¡ 31_E145¡
59)","22 May, 2011",___,"Skipjack tuna
(Katsuwonus pelamis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",ND,ND,pelagic,s,f,2011,22
