"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,
3276,National Surimi Manufacturers Assiciation,"28 October,2011",Hokkaido,"Offshore
Kushiro","6 October,2011","______
_______","Alaska pollock (Theragra chalcogramma) (Frozen surimi)
(processed)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
3967,Niigata,"16 November ,2011",Niigata,Niigata Port,"13 November ,2011",_________ __,Alaska pollock (Theragra chalcogramma) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",ND,ND,s,f,
6286,Miyagi,"15 February,2012",Miyagi,"Offshore
Miyagi","7 February,2012",__________,Alaska pollock (Theragra chalcogramma) juvenile,,0.9,Not detectable,,Private inspection facility,0.9,ND,s,f,
2530,Yamagata,"5 October,2011",Yamagata,"Offshore
Tsuruoka City","29 September,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
2550,Hokkaido,"6 October,2011",Hokkaido,"Offshore
Noboribetu City","27 September,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
2551,Hokkaido,"6 October,2011",Hokkaido,"Offshore
Kushiro City","26 September,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.56,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.56,ND,s,f,
2564,Aomori,"7 October,2011",Aomori,"Offshore
Sotogahama Town","2 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,3.9,Not detectable,,Japan Chemical Analysis Center,3.9,ND,s,f,
2614,Hokkaido,"11 October,2011",Hokkaido,"Offshore
Urakawa Town","29 September,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.62,Not detectable,,Japan Chemical Analysis Center,0.62,ND,s,f,
2751,Hokkaido,"13 October,2011",Hokkaido,"Offshore
Kushiro City","2 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.12,Not detectable,,Japan Chemical Analysis Center,1.12,ND,s,f,
2764,Hokkaido,"14 October,2011",Hokkaido,"Offshore
Urakawa Town","8 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.42,Not detectable,,Private inspection facility,1.42,ND,s,f,
2811,Hokkaido,"17 October,2011",Hokkaido,"Offshore
Muroran City","4 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1,Not detectable,,Private inspection facility,1,ND,s,f,
2838,Aomori,"18 October,2011",Aomori,Offshore Misawa,"11 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,11.7,Not detectable,,Japan Chemical Analysis Center,11.7,ND,s,f,
2990,Hokkaido,"19 October,2011",Hokkaido,"Offshore
Kushiro City","12 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.03,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.03,ND,s,f,
3030,Hokkaido,"21 October,2011",Hokkaido,"Offshore
Urakawa Town","12 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.16,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.16,ND,s,f,
3206,Hokkaido,"26 October,2011",Hokkaido,"Offshore
Kushiro City","19 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.2,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.2,ND,s,f,
3209,Hokkaido,"26 October,2011",Hokkaido,"Offshore
Urakawa Town","20 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.46,Not detectable,,Japan Chemical Analysis Center,1.46,ND,s,f,
3214,Hokkaido,"26 October,2011",Hokkaido,"Offshore
Muroran City","19 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
3239,Miyagi,"27 October,2011",Miyagi,"Offshore
Miyagi","17 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,9.2,Not detectable,,Private inspection facility,9.2,ND,s,f,
3258,Iwate,"28 October,2011",Iwate,"Offshore
Kamaishi City","18 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,15.76,Not detectable,,Research Institute for Environmental Sciences  and Public Health of Iwate Prefecture,15.76,ND,s,f,
3272,Iwate,"28 October,2011",Iwate,"Offshore
Kamaishi City","25 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",14.6,,Not detectable,,Private inspection facility,14.6,ND,s,f,
3310,Aomori,"31 October,2011",Aomori,"Offshore
Rokkasho Village","24 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,13.8,Not detectable,,Japan Chemical Analysis Center,13.8,ND,s,f,
3463,Hokkaido,"2 November ,2011",Hokkaido,"Offshore
Kushiro City","25 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,s,f,
3465,Hokkaido,"2 November ,2011",Hokkaido,"Offshore
Urakawa Town","27 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",3.6,,Not detectable,,Japan Chemical Analysis Center,3.6,ND,s,f,
3470,Hokkaido,"2 November ,2011",Hokkaido,"Offshore
Muroran City","27 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",1.2,,Not detectable,,Japan Chemical Analysis Center,1.2,ND,s,f,
3554,Aomori,"7 November ,2011",Aomori,Offshore Misawa,"30 October,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,34,Not detectable,,Japan Chemical Analysis Center,34,ND,s,f,
3670,Hokkaido,"9 November ,2011",Hokkaido,"Offshore
Kushiro City","1 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
3673,Hokkaido,"9 November ,2011",Hokkaido,"Offshore
Urakawa Town","2 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,0.65,Not detectable,,"Japan Frozen Foods Inspection
Corporation",0.65,ND,s,f,
3677,Hokkaido,"9 November ,2011",Hokkaido,"Offshore
Otobe Town","2 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
3687,Ibaraki,"9 November ,2011",Ibaraki,"Offshore
Takahagi City","1 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,40,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",40,ND,s,f,
3700,Miyagi,"9 November ,2011",Miyagi,"Offshore
Miyagi","1 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",10.2,,Not detectable,,Japan Chemical Analysis Center,10.2,ND,s,f,
3736,Hokkaido,"10 November ,2011",Hokkaido,"Offshore
Muroran City","1 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Private inspection facility,ND,ND,s,f,
3748,Ibaraki,"11 November ,2011",Ibaraki,"Offshore
Hitachi City","8 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,6,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",6,ND,s,f,
3787,Aomori,"11 November ,2011",Aomori,"Offshore
Rokkasho Village","6 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,7.4,Not detectable,,Japan Chemical Analysis Center,7.4,ND,s,f,
3820,Ibaraki,"15 November ,2011",Ibaraki,"Offshore
Hitachinaka City","10 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,21,Not detectable,,Japan Chemical Analysis Center,21,ND,s,f,
3968,Hokkaido,"16 November ,2011",Hokkaido,"Offshore
Kushiro City","8 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.1,Not detectable,,"Japan Frozen Foods Inspection
Corporation",1.1,ND,s,f,
3972,Hokkaido,"16 November ,2011",Hokkaido,"Offshore
Urakawa Town","10 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",ND,ND,s,f,
3978,Hokkaido,"16 November ,2011",Hokkaido,"Offshore
Muroran City","8 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,1.47,Not detectable,,Japan Chemical Analysis Center,1.47,ND,s,f,
4053,Aomori,"18 November ,2011",Aomori,"Offshore
Rokkasho Village","13 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,5.6,Not detectable,,Japan Chemical Analysis Center,5.6,ND,s,f,
4148,Fukushima,"24 November ,2011",Fukushima,Soma City,"18 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,12,Not detectable,,"Fukushima Agricultural Technology
Centre",12,ND,s,f,
4149,Fukushima,"24 November ,2011",Fukushima,Soma City,"18 November ,2011",______,"Alaska pollock
(Theragra  chalcogramma)",,13,Not detectable,,"Fukushima Agricultural Technology
Centre",13,ND,s,f,
