"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
36,Chiba,"5,April, 2011",Chiba,,"Kamogawa city
Amatsu","24,March, 2011",___,,"Hijiki seaweed
(Hizikia fusiformis)",Not detectable,,,65,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
37,"Otsu Fisheries
Cooperative","5,April, 2011",Ibaraki,,"Offshore
Kitaibaraki city","4,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,526,,"1,700","Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
38,Ibaraki,"5,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","4,April, 2011",__________,,"Japanese sandlance
(Ammodytes personatus)",,83,,600,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
39,Ibaraki,"5,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","4,April, 2011",____,,"Japanese icefish
(Salangichthys microdon)",,94,,260,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
40,Ibaraki,"5,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","4,April, 2011",____,,"Fat greenling
(Hexagrammos otakii)",,10,,260,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
41,Ibaraki,"5,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","4,April, 2011",_________ __,,"Conger eel (Juvenile)
_ Conger myriaster _",,12,,220,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
42,Nakaminato Fisheries Cooperative,"5,April, 2011",Ibaraki,,"Offshore
Oarai town","4,April, 2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",Not detectable,,,3.6,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
43,Nakaminato Fisheries Cooperative,"5,April, 2011",Ibaraki,,"Offshore
Hokota city","4,April, 2011",___,,"Olive flounder
(Paralichthys olivaceus)",,4,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
44,Ibaraki,"5,April, 2011",Ibaraki,,"Offshore
Hokota city","4,April, 2011",____,,"Monkfish
(Lophiomus setigerus)",Not detectable,,,21,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
45,Tokyo,"5,April, 2011",Tokyo,,Habu,"30,March, 2011",______,,Fukutokobushi abalone (Haliotis diversicolor diversicolor),Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
46,Chiba,"7,April, 2011",Chiba,,Katsuura,"5,April, 2011",_____,,"Alfonsino
(Beryx splendens)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
47,Chiba,"7,April, 2011",Chiba,,Iwawada,"5,April, 2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",,33,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
48,Fukushima,"7,April, 2011",Fukushima,,"Koriyama City
(inland waters)","6,April, 2011",______,,"Common carp(farmed)
(Cyprinus carpio)",Not detectable,,Not detectable,,Japan Chemical Analysis  Center,,,
49,Fukushima,"7,April, 2011",Fukushima,,"Nishigo Village
(inland waters)","6,April, 2011",_______,,"Whitespotted char(farmed)
(Salvelinus leucomaenis)",Not detectable,,,8.1,Japan Chemical Analysis  Center,,,
50,Fukushima,"7,April, 2011",Fukushima,,"Nishigo Village
(inland waters)","6,April, 2011",________,,"Rainbow trout (farmed)
(Oncorhynchus mykiss)",Not detectable,,,5.5,Japan Chemical Analysis  Center,,,
51,Ibaraki,"_,April, 2011",Ibaraki,,"Offshore
Hitachinaka city","5, April, 2011",_____,,"Chestnut octopus
(Octopus conispadiceus)",Not detectable,,,4,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
