"Results of the inspection on radioactive materials in fisheries products (press releases in March,2011_September,  2011)",,,,,,,,,,,,,,,,,
"Note: This data sheet is a compilation of individual  test results shown in the corresponding press releases, (in Japanese) by prefectural governments, available  at the website each prefecture or  _",,,,,,,,,,,,,,,,,
http://www.jfa.maff.go.jp/j/kakou/kensa/index.html,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Press release,,Origin,,,Sampling date,Item,,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,,,
3680,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hitachi City","4 November ,2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",,13,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3681,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Tokai Village","2 November ,2011",_______,,"Anchovy
(Engraulis  japonicus)",,7,Not detectable,,Private inspection facility,,,
3682,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hitachi City","4 November ,2011",____,,"Southern mackerel
(Scomber  australasicus)",,17,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3683,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hokota city","1 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",,20,Not detectable,,Japan Chemical Analysis Center,,,
3684,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Oarai Town","2 November ,2011",________,,"Brown hakeling
(Physiculus  maximowiczi)",,83,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3685,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","1 November ,2011",_______,,"Vermiculated puffer
(Takifugu  snyderi)",,23,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3686,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Oarai Town","1 November ,2011",________,,"Japanese whelk
(Buccinum  isaotakii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3687,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Takahagi City","1 November ,2011",______,,"Alaska pollock
(Theragra  chalcogramma)",,40,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3688,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Oarai Town","2 November ,2011",_____,,"Japanese flying squid
(Todarodes  pacificus)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3689,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Oarai Town","1 November ,2011",_____,,"Botan shrimp
(Pandalus  nipponesis)",,2,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3690,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","1 November ,2011",_____,,"Marbled flounder
(Pleuronectes yokohamae)",,32,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3691,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Takahagi City","6 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,101,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3692,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Oarai Town","2 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,128,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3693,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hokota city","1 November ,2011",_____,,"John Dory
(Zeus faber)",,24,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3694,Ibaraki,"9 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","1 November ,2011",______,,"Ridged-eye flounder
(Pleuronichthys cornutus)",,17,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3695,Ibaraki,"9 November ,2011",Ibaraki,,"Kinugawa River
(inland waters)","6 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3696,Ibaraki,"9 November ,2011",Ibaraki,,"Hinuma River
(inland waters)","7 November ,2011",______,,"Brackish-water clam
(Corbicula  japonica)",Not detectable,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3697,Ibaraki,"9 November ,2011",Ibaraki,,Kasumigaura (Nishi-ura) (inland waters),"7 November ,2011",________,,"Japanese smelt(wild)
(Hypomesus  nipponensis)",63,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3698,Ibaraki,"9 November ,2011",Ibaraki,,Kasumigaura (Kita-ura) (inland waters),"7 November ,2011",________,,"Japanese smelt(wild)
(Hypomesus  nipponensis)",41,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3699,Miyagi,"9 November ,2011",Miyagi,,"Offshore southern
Sanriku Region","1 November ,2011",_____,,"Japanese flying squid
(Todarodes  pacificus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3700,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",______,,"Alaska pollock
(Theragra  chalcogramma)",10.2,,Not detectable,,Japan Chemical Analysis Center,,,
3701,Miyagi,"9 November ,2011",Miyagi,,"Offshore southern
Sanriku Region","1 November ,2011",___,,"Chub mackerel
(Scomber  japonicus)",10.5,,Not detectable,,Japan Chemical Analysis Center,,,
3702,Miyagi,"9 November ,2011",Miyagi,,"Offshore southern
Sanriku Region","1 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3703,Miyagi,"9 November ,2011",Miyagi,,"Offshore southern
Sanriku Region","1 November ,2011",________,,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3704,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",3.3,,Not detectable,,Japan Chemical Analysis Center,,,
3705,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",_____,,"Stone flounder
(Kareius bicoloratus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3706,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",____,,"Fat greenling
(Hexagrammos otakii)",7.7,,Not detectable,,Japan Chemical Analysis Center,,,
3707,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",____,,Brassblotched rockfish (Sebastes  pachycephalus pachycephalus),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3708,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",________,,"Brown hakeling
(Physiculus  maximowiczi)",4.8,,Not detectable,,Japan Chemical Analysis Center,,,
3709,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Oga","3 November ,2011",___,,"Halfbeak
(Hemiramphus sajori)",Not detectable,,Not detectable,,Tohoku University,,,
3710,Miyagi,"9 November ,2011",Miyagi,,Matsushima Bay,"4 November ,2011",_______,,"Pacific oyster (farmed)
(Crassostrea gigas)",Not detectable,,Not detectable,,Tohoku University,,,
3711,Miyagi,"9 November ,2011",Miyagi,,Ishinomaki Bay,"4 November ,2011",_______,,"Pacific oyster (farmed)
(Crassostrea gigas)",4,,Not detectable,,Tohoku University,,,
3712,Miyagi,"9 November ,2011",Miyagi,,"Offshore southern
Sanriku Region","1 November ,2011",___________,,"Anchovy
(Engraulis  japonicus)",4.4,,Not detectable,,Japan Chemical Analysis Center,,,
3713,Miyagi,"9 November ,2011",Miyagi,,"Offshore
Miyagi","1 November ,2011",____,,"Giant Pacific octopus
(Paroctopus  dofleini)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3714,Miyagi,"9 November ,2011",Miyagi,,North Pacific off Japan (N36°30_E154°50),"16-28 October,2011",______,,"Bigeye tuna
(Thunnus obesus)",9.9,,Not detectable,,Japan Chemical Analysis Center,,,
3715,Miyagi,"9 November ,2011",Miyagi,,"Offshore nouthern
Sanriku Region","28-29 October,2011",____,,"Swordfish
(Xiphias gladius)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3716,Miyagi,"9 November ,2011",Miyagi,,North Pacific off Japan (N40°0_E152°30),"29 October,2011",___,,"Skipjack tuna
(Katsuwonus pelamis)",12.3,,Not detectable,,Japan Chemical Analysis Center,,,
3717,Miyagi,"9 November ,2011",Miyagi,,Kurihara City (Izunuma Lake) (inland waters),"6 November ,2011",________,,"Silver crucian carp(wild)
(Carassius  langsdorfii)",10,,Not detectable,,Tohoku University,,,
3718,National Saury Fishery Association,"9 November ,2011",Fukushima,,"Offshore
Pacific Ocean
(N37°35’E143°38)","4 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3719,National Saury Fishery Association,"9 November ,2011",Fukushima,,"Offshore
Pacific Ocean
(N37°35’E143°38)","4 November ,2011",_______,,Pacific saury (Cololabis  saira) (Muscle part),Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3720,National Saury Fishery Association,"9 November ,2011",Fukushima,,"Offshore
Pacific Ocean
(N37°34’E142°26)","4 November ,2011",_______,,"Pacific saury
(Cololabis  saira)
(Whole body)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3721,National Saury Fishery Association,"9 November ,2011",Fukushima,,"Offshore
Pacific Ocean
(N37°34’E142°26)","4 November ,2011",_______,,Pacific saury (Cololabis  saira) (Muscle part),Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3722,Niigata,"9 November ,2011",Niigata,,Shibata City (Kajigawa River) (inland waters),"5 November,2011",_________,,Chum salmon (Oncorhynchus keta) (Edible part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",,,
3723,Niigata,"9 November ,2011",Niigata,,Shibata City (Kajigawa River) (inland waters),"5 November,2011",_________,,Chum salmon (Oncorhynchus keta) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",,,
3724,Kanagawa,"10 November ,2011",Kanagawa,,Miura City (Misaki Fishing Port),"6 Novemer,2011",____,,"Greater amberjack
(Seriola dumerili)",16.6,,Not detectable,,Japan Chemical Analysis Center,,,
3725,Kanagawa,"10 November ,2011",Kanagawa,,Miura City (Misaki Fishing Port),"6 Novemer,2011",___,,"Japanese jack mackerel
(Trachurus  japonicas)",0.47,,Not detectable,,Japan Chemical Analysis Center,,,
3726,Kanagawa,"10 November ,2011",Kanagawa,,Miura City (Misaki Fishing Port),"6 Novemer,2011",____,,"Southern mackerel
(Scomber  australasicus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3727,Kanagawa,"10 November ,2011",Kanagawa,,Fujisawa City (Katase Fishing Port),"7 Novemer,2011",___,,"Mahi-mahi
(Coryphaena hippurus)",21,,Not detectable,,Private inspection facility,,,
3728,National Saury Fishery Association,"10 November ,2011",(Landing port) Ofunato Port in Iwate,,"Offshore nouthern
Sanriku Region
(N39°50’E143°50)","5 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3729,National Saury Fishery Association,"10 November ,2011",(Landing port) Kesennuma Port in Miyagi,,"Pacific Ocean, Offshore Hokkaido and Aomori
(N40°35’E145°20)","5 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),,0/47,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3730,National Saury Fishery Association,"10 November ,2011",(Landing port) Miyako Port in Iwate,,"Offshore nouthern
Sanriku Region
(N39°54’E143°35)","6 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3731,Chiba,"10 November ,2011",Chiba,,"Katakai
Fishing Port","7 November ,2011",___________,,"Anchovy
(Engraulis  japonicus)",,2.52,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3732,Chiba,"10 November ,2011",Chiba,,"Teganuma Lake
(inland waters)","9 November ,2011",_______,,"Topmouth gudgeon(wild)
(Pseudorasbora parva)",,115.3,Not detectable,,Tokyo Quarantine Station,,,
3733,Akita,"10 November ,2011",Akita,,"Oga City
(Funakawa Port)","8 November ,2011",____,,"Japanese sandfish
(Arctoscopus japonicus)",Not detectable,,Not detectable,,Akita Research Center for Public Health and Environment,,,
3734,Yamagata,"24 October,2011",Yamagata,,"Offshore
Tsuruoka City","20 October,2011",___,,"Red seabream
(Pagrus major)",Not detectable,,Not detectable,,"Yamagata Prefectural Institute of Public
Health",,,
3735,Yamagata,"7 November ,2011",Yamagata,,Yuza Towan (Gakko River) (inland waters),"7 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Yamagata Prefectural Institute of Public
Health",,,
3736,Hokkaido,"10 November ,2011",Hokkaido,,"Offshore
Muroran City","1 November ,2011",______,,"Alaska pollock
(Theragra  chalcogramma)",Not detectable,,Not detectable,,Private inspection facility,,,
3737,Hokkaido,"10 November ,2011",Hokkaido,,"Offshore
Muroran City","1 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,4.2,Not detectable,,Private inspection facility,,,
3738,Hokkaido,"10 November ,2011",Hokkaido,,"Offshore
Muroran City","3 November ,2011",______,,"Kamchatla flounder
(Atheresthes  evermanni)",Not detectable,,Not detectable,,Private inspection facility,,,
3739,Niigata,"11 November ,2011",Niigata,,Niigata Port,"9 November ,2011",________,,"Deep-sea smelt
(Glossanodon semifasciatus)
(Edible part)",Not detectable,,Not detectable,,"Environmental Science Research
Niigata",,,
3740,Niigata,"11 November ,2011",Niigata,,Niigata Port,"9 November ,2011",________,,Deep-sea smelt (Glossanodon semifasciatus) (Visceral part),Not detectable,,Not detectable,,"Environmental Science Research
Niigata",,,
3741,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",________,,"Brown hakeling
(Physiculus  maximowiczi)",,63,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3742,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",___,,Whitebait,,8,Not detectable,,Private inspection facility,,,
3743,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Takahagi City","7 November ,2011",___,,Whitebait,,6,Not detectable,,Private inspection facility,,,
3744,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Red barracuda
(Sphyraena  pinguis)",,43,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3745,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",____,,"Monkfish
(Lophiomus  setigerus)",,13,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3746,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Redwing searobin
(Lepidotrigla microptera)",,46,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3747,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",_____,,"Redwing searobin
(Lepidotrigla microptera)",,30,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3748,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",______,,"Alaska pollock
(Theragra  chalcogramma)",,6,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3749,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",___,,"Crimson sea bream
(Evynnis japonica)",,29,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3750,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",___,,"Deep-sea smelt
(Glossanodon semifasciatus)",,12,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3751,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Slime flounder
(Microstomus achne)",,18,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3752,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,113,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3753,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,38,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3754,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,39,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3755,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kamisu city","7 November ,2011",_____,,"Botan shrimp
(Pandalus  nipponesis)",,2,Not detectable,,Japan Chemical Analysis Center,,,
3756,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,75,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3757,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",____,,"Littlemouth flounder
(Pleuronectes herzensteini)",,28,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3758,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","8 November ,2011",___,,"Common octopus
(Octopus vulgaris)",,2,Not detectable,,Japan Chemical Analysis Center,,,
3759,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachi City","8 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,109,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3760,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,127,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3761,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"John Dory
(Zeus faber)",,29,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3762,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Rikuzen flounder
(Dexistes rikuzenius)",,9,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3763,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",_____,,"Shotted halibut
(Eopsetta  grigorjewi  )",,57,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3764,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Kita-ibaraki City","7 November ,2011",________,,"Willowy flounder
(Tanakius  kitaharai)",,28,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3765,Ibaraki,"11 November ,2011",Ibaraki,,"Offshore
Hitachinaka City","9 November ,2011",________,,"Willowy flounder
(Tanakius  kitaharai)",,15,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",,,
3766,Iwate,"11 November ,2011",Iwate,,"Offshore
Kuji City","8 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3767,Iwate,"11 November ,2011",Iwate,,"Offshore
Miyako City","7 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3768,Iwate,"11 November ,2011",Iwate,,"Offshore
Kamaishi City","8 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3769,Iwate,"11 November ,2011",Iwate,,"Offshore
Ofunato City","7 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3770,Iwate,"11 November ,2011",Iwate,,"Offshore
Miyako City","7 November ,2011",________,,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3771,Iwate,"11 November ,2011",Iwate,,"Offshore
Kamaishi City","8 November ,2011",________,,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3772,Iwate,"11 November ,2011",Iwate,,"Offshore
Ofunato City","7 November ,2011",________,,Chum salmon (Oncorhynchus keta) (ovary),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3773,Iwate,"11 November ,2011",Iwate,,"Offshore
Kuji City","8 November ,2011",____,,"Southern mackerel
(Scomber  australasicus)",,2.2,Not detectable,,Japan Chemical Analysis Center,,,
3774,Iwate,"11 November ,2011",Iwate,,"Offshore
Miyako City","8 November ,2011",____,,"Southern mackerel
(Scomber  australasicus)",,4.2,Not detectable,,Japan Chemical Analysis Center,,,
3775,Iwate,"11 November ,2011",Iwate,,"Offshore
Ofunato City","7 November ,2011",____,,"Southern mackerel
(Scomber  australasicus)",,7,Not detectable,,Japan Chemical Analysis Center,,,
3776,Iwate,"11 November ,2011",Iwate,,"Offshore
Kamaishi City","8 November ,2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",,27,Not detectable,,Japan Chemical Analysis Center,,,
3777,Iwate,"11 November ,2011",Iwate,,"Offshore
Ofunato City","7 November ,2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",,10.2,Not detectable,,Japan Chemical Analysis Center,,,
3778,Iwate,"11 November ,2011",Iwate,,"Offshore
Kuji City","6 November ,2011",___,,"Pacific cod
(Gadus macrocephalus)",,8.8,Not detectable,,Japan Chemical Analysis Center,,,
3779,Iwate,"11 November ,2011",Iwate,,"Offshore
Miyako City","8 November ,2011",_____,,"Japanese flying squid
(Todarodes  pacificus)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3780,Iwate,"11 November ,2011",Iwate,,"Offshore
Miyako City","8 November ,2011",_________,,Japanese flying squid (Todarodes  pacificus) (Liver part),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3781,National Saury Fishery Association,"11 November ,2011",(Landing port) Kushiro Port in Hokkaido,,"Pacific Ocean, Offshore Hokkaido and Aomori (N42°20’E145°50)","6 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),Not detectable,,Not detectable,,Private inspection facility,,,
3782,National Saury Fishery Association,"11 November ,2011",(Landing port) Hanasaki Port in Hokkaido,,"Pacific Ocean, Offshore Hokkaido and Aomori
(N41°15’E145°35)","6 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),Not detectable,,Not detectable,,Private inspection facility,,,
3783,National Saury Fishery Association,"11 November ,2011",(Landing port) Choshi Port in Chiba,,"Pacific Ocean, Offshore Hokkaido and Aomori
(N41°6’E145°22)","8 November ,2011",_______,,Pacific saury (Cololabis  saira) (Whole body),Not detectable,,Not detectable,,Private inspection facility,,,
3784,Chiba,"11 November ,2011",Chiba,,"Choshi
Fishing Port","8-9 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,21.4,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3785,Chiba,"11 November ,2011",Chiba,,"Choshi
Fishing Port","8 November ,2011",___,,"Japanese jack mackerel
(Trachurus  japonicas)",,45,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3786,Chiba,"11 November ,2011",Chiba,,"Shirako
Fishing Port","7 November ,2011",__,,"Japanese amberjack
(Seriola quinqueraduata)",,12.4,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3787,Aomori,"11 November ,2011",Aomori,,"Offshore
Rokkasho Village","6 November ,2011",______,,"Alaska pollock
(Theragra  chalcogramma)",,7.4,Not detectable,,Japan Chemical Analysis Center,,,
3788,Aomori,"11 November ,2011",Aomori,,"Offshore
Rokkasho Village","6 November ,2011",_______,,Pacific cod (Gadus macrocephalus) (Muscle part),,87,Not detectable,,Japan Chemical Analysis Center,,,
3789,Aomori,"11 November ,2011",Aomori,,"Offshore
Rokkasho Village","6 November ,2011",_______,,Pacific cod (Gadus macrocephalus) (Liver part),,17.4,Not detectable,,Japan Chemical Analysis Center,,,
3790,National Offshore Tuna Fisheries Association of Japan,"10 November ,2011",(Landing port) Choshi Fisheries Cooperative in Chiba,,Offshore Pacific Ocean (N35°00_E148°00),"The middle of
October",______,,"Bigeye tuna
(Thunnus obesus)",,3,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3791,Kanagawa,"14 November ,2011",Kanagawa,,"Yokosuka City
(Hashirimizu Port)","9 November ,2011",_______,,Laver (dried) (processed),Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3792,Kanagawa,"14 November ,2011",Kanagawa,,"Yokosuka City
(Hashirimizu Port)","10 November ,2011",___,,"Laver (wet)
(Porphyra  yezoensis)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3793,Chiba,"14 November ,2011",Chiba,,"Shore of
Funabashi City","7 November ,2011",___,,"Laver (wet)
(Porphyra  yezoensis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3794,Chiba,"14 November ,2011",Chiba,,"Shore of
Kisarazu City","7 November ,2011",___,,"Laver (wet)
(Porphyra  yezoensis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3795,Chiba,"14 November ,2011",Chiba,,"Shore of
Futtsu City","8 November ,2011",___,,"Laver (wet)
(Porphyra  yezoensis)",Not detectable,,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",,,
3796,Chiba,"14 November ,2011",Chiba,,"Choshi
Fishing Port","10 November ,2011",___,,"Japanese jack mackerel
(Trachurus  japonicas)",,26,Not detectable,,Private inspection facility,,,
3797,Aomori,"14 November ,2011",Aomori,,Offshore Misawa,"7 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3798,Aomori,"14 November ,2011",Aomori,,Offshore Misawa,"7 November ,2011",___,,"Olive flounder
(Paralichthys olivaceus)",,1.66,Not detectable,,"Japan Frozen Foods Inspection
Corporation",,,
3799,Hokkaido,"14 November ,2011",Hokkaido,,"Offshore
Kushiro City","4 November ,2011",____,,"Chum salmon
(Oncorhynchus keta)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,,,
3800,Hokkaido,"14 November ,2011",Hokkaido,,"Offshore
Akkeshi Town","1 November ,2011",___,,"Pacific herring
(Clupea pallasii)",Not detectable,,Not detectable,,Private inspection facility,,,
3801,Yokohama City,"11 November ,2011",Yokohama City,,"Offshore
Yokohama City","9 November ,2011",_______,,"Red tongue sole
(Cynoglossus joyneri)",Not detectable,,Not detectable,,"Yokohama City Institute of Public
Health",,,
3802,Yokohama City,"11 November ,2011",Yokohama City,,"Offshore
Yokohama City","9 November ,2011",____,,"Gurnard
(Chelidonichthys spinosus)",,6.4,Not detectable,,"Yokohama City Institute of Public
Health",,,
