,Press release,,Origin,,Sampling date,Item,,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,Facility that conducted  the analysis,Radioactive Caesium (Bq/kg_ Provisional  regulation value for fish Radioactive caesium: 500 Bq/kg,Radioactive _odine (Bq/kg_ Provisional  regulation value for fish Radioactive iodine: 2000 Bq/kg,,,,,
1662,Fukushima,"31 August, 2011",Fukushima,Minami-soma City,"29 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,290,Not detectable,,"Fukushima Agricultural Technology
Centre",290,ND,demersal,s,f,2011,29
1707,Kanagawa,"31 August, 2011",Kanagawa,Yokosuka City (Shin-yasuura Port),"25 August, 2011",____,"Fat greenling
(Hexagrammos otakii)",,12.1,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",12.1,ND,demersal,s,f,2011,25
1760,Fukushima,"7 September,2011",Fukushima,Soma City,"5 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,143,Not detectable,,"Fukushima Agricultural Technology
Centre",143,ND,demersal,s,f,2011,5 
1761,Fukushima,"7 September,2011",Fukushima,Minami-soma City,"5 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,32,Not detectable,,"Fukushima Agricultural Technology
Centre",32,ND,demersal,s,f,2011,5 
1806,Ibaraki,"6 September,2011",Ibaraki,"Offshore
Takahagi city","4 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,204,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",204,ND,demersal,s,f,2011,4 
1807,Ibaraki,"6 September,2011",Ibaraki,"Offshore
Hitachi City","5 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,204,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",204,ND,demersal,s,f,2011,5 
1864,Ibaraki,"13 September,2011",Ibaraki,"Offshore Hitachi-naka City and
Oarai Town","9 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,45,Not detectable,,"National Research Institute of Fisheries Science, Fisheries Research Agency, Japan",45,ND,demersal,s,f,2011,9 
1911,Fukushima,"14 September,2011",Fukusima,Iwaki City,"8 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,88,Not detectable,,"Fukushima Agricultural Technology
Centre",88,ND,demersal,s,f,2011,8 
1945,Fukushima,"14 September,2011",Fukusima,Minami-soma City,"10 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,240,Not detectable,,"Fukushima Agricultural Technology
Centre",240,ND,demersal,s,f,2011,10
1946,Fukushima,"14 September,2011",Fukusima,Minami-soma City,"10 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,113,Not detectable,,"Fukushima Agricultural Technology
Centre",113,ND,demersal,s,f,2011,10
1947,Fukushima,"14 September,2011",Fukusima,Minami-soma City,"10 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,10,Not detectable,,"Fukushima Agricultural Technology
Centre",10,ND,demersal,s,f,2011,10
2077,Fukushima,"21 September,2011",Fukusima,Iwaki City,"15 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,55,Not detectable,,"Fukushima Agricultural Technology
Centre",55,ND,demersal,s,f,2011,15
2113,Fukushima,"21 September,2011",Fukusima,Soma City,"15 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,75,Not detectable,,"Fukushima Agricultural Technology
Centre",75,ND,demersal,s,f,2011,15
2114,Fukushima,"21 September,2011",Fukusima,Minami-soma City,"15 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,77,Not detectable,,"Fukushima Agricultural Technology
Centre",77,ND,demersal,s,f,2011,15
2236,Fukushima,"28 September,2011",Fukusima,Iwaki City,"26 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,1680,Not detectable,,"Fukushima Agricultural Technology
Centre",1680,ND,demersal,s,f,2011,26
2259,Fukushima,"28 September,2011",Fukusima,Minami-soma City,"24 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,65,Not detectable,,"Fukushima Agricultural Technology
Centre",65,ND,demersal,s,f,2011,24
2260,Fukushima,"28 September,2011",Fukusima,Minami-soma City,"24 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,69,Not detectable,,"Fukushima Agricultural Technology
Centre",69,ND,demersal,s,f,2011,24
2261,Fukushima,"28 September,2011",Fukusima,Soma City,"26 September,2011",____,"Fat greenling
(Hexagrammos otakii)",,156,Not detectable,,"Fukushima Agricultural Technology
Centre",156,ND,demersal,s,f,2011,26
2415,Ibaraki,"4 October,2011",Ibaraki,"Offshore
Kita-ibaraki City","30 September,2011",____,"Fat greenling
(Hexagrammos otakii)",124,,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",124,ND,demersal,s,f,2011,30
2441,Fukushima,"5 October,2011",Fukushima,Iwaki City,"3 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,260,Not detectable,,"Fukushima Agricultural Technology
Centre",260,ND,demersal,s,f,2011,3 
2469,Fukushima,"5 October,2011",Fukushima,Soma City,"1 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,25,Not detectable,,"Fukushima Agricultural Technology
Centre",25,ND,demersal,s,f,2011,1 
2470,Fukushima,"5 October,2011",Fukushima,Minami-soma City,"1 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,46,Not detectable,,"Fukushima Agricultural Technology
Centre",46,ND,demersal,s,f,2011,1 
2471,Fukushima,"5 October,2011",Fukushima,Minami-soma City,"3 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,130,Not detectable,,"Fukushima Agricultural Technology
Centre",130,ND,demersal,s,f,2011,3 
2657,Fukushima,"12 October,2011",Fukushima,Minami-soma City,"6 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,230,Not detectable,,"Fukushima Agricultural Technology
Centre",230,ND,demersal,s,f,2011,6 
2658,Fukushima,"12 October,2011",Fukushima,Soma City,"7 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,94,Not detectable,,"Fukushima Agricultural Technology
Centre",94,ND,demersal,s,f,2011,7 
2746,Miyagi,"13 October,2011",Miyagi,Kesennuma Bay,"5 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,4.8,Not detectable,,Japan Chemical Analysis Center,4.8,ND,demersal,s,f,2011,5 
2847,Miyagi,"18 October,2011",Miyagi,"Offshore
Miyagi","11 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,8.3,Not detectable,,Japan Chemical Analysis Center,8.3,ND,demersal,s,f,2011,11
2858,Fukushima,"19 October,2011",Fukushima,Iwaki City,"11 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,209,Not detectable,,"Fukushima Agricultural Technology
Centre",209,ND,demersal,s,f,2011,11
2871,Fukushima,"19 October,2011",Fukushima,Minami-soma City,"14 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,173,Not detectable,,"Fukushima Agricultural Technology
Centre",173,ND,demersal,s,f,2011,14
2872,Fukushima,"19 October,2011",Fukushima,Soma City,"15 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,149,Not detectable,,"Fukushima Agricultural Technology
Centre",149,ND,demersal,s,f,2011,15
2873,Fukushima,"19 October,2011",Fukushima,Soma City,"17 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,90,Not detectable,,"Fukushima Agricultural Technology
Centre",90,ND,demersal,s,f,2011,17
2874,Fukushima,"19 October,2011",Fukushima,Hirono Town,"17 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,560,Not detectable,,"Fukushima Agricultural Technology
Centre",560,ND,demersal,s,f,2011,17
2875,Fukushima,"19 October,2011",Fukushima,Hirono Town,"17 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,610,Not detectable,,"Fukushima Agricultural Technology
Centre",610,ND,demersal,s,f,2011,17
2876,Fukushima,"19 October,2011",Fukushima,Minami-soma City,"17 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,78,Not detectable,,"Fukushima Agricultural Technology
Centre",78,ND,demersal,s,f,2011,17
2977,Ibaraki,"17 October,2011",Ibaraki,"Offshore
Kashima City","12 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,54,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",54,ND,demersal,s,f,2011,12
3049,Hokkaido,"24 October,2011",Hokkaido,"Offshore
Urakawa Town","12 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,0.86,Not detectable,,Japan Chemical Analysis Center,0.86,ND,demersal,s,f,2011,12
3056,Ibaraki,"24 October,2011",Ibaraki,"Offshore
Hitachi City","18 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,111,Not detectable,,"Ibaraki Prefecture Environmental
Radiation Monitoring Center",111,ND,demersal,s,f,2011,18
3085,Fukushima,"26 October,2011",Fukushima,Iwaki City,"24 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,370,Not detectable,,"Fukushima Agricultural Technology
Centre",370,ND,demersal,s,f,2011,24
3086,Fukushima,"26 October,2011",Fukushima,Iwaki City,"24 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,81,Not detectable,,"Fukushima Agricultural Technology
Centre",81,ND,demersal,s,f,2011,24
3130,Fukushima,"26 October,2011",Fukushima,Minami-soma City,"20 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,280,Not detectable,,"Fukushima Agricultural Technology
Centre",280,ND,demersal,s,f,2011,20
3131,Fukushima,"26 October,2011",Fukushima,Minami-soma City,"24 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,319,Not detectable,,"Fukushima Agricultural Technology
Centre",319,ND,demersal,s,f,2011,24
3342,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"24 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,93,Not detectable,,"Fukushima Agricultural Technology
Centre",93,ND,demersal,s,f,2011,24
3343,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"25 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,760,Not detectable,,"Fukushima Agricultural Technology
Centre",760,ND,demersal,s,f,2011,25
3344,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"27 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,490,Not detectable,,"Fukushima Agricultural Technology
Centre",490,ND,demersal,s,f,2011,27
3345,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"31 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,1050,Not detectable,,"Fukushima Agricultural Technology
Centre",1050,ND,demersal,s,f,2011,31
3346,Fukushima,"2 November ,2011",Fukushima,Iwaki City,"31 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,131,Not detectable,,"Fukushima Agricultural Technology
Centre",131,ND,demersal,s,f,2011,31
3403,Fukushima,"2 November ,2011",Fukushima,Shinchi Town,"28 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,117,Not detectable,,"Fukushima Agricultural Technology
Centre",117,ND,demersal,s,f,2011,28
3404,Fukushima,"2 November ,2011",Fukushima,Minami-soma City,"29 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,420,Not detectable,,"Fukushima Agricultural Technology
Centre",420,ND,demersal,s,f,2011,29
3405,Fukushima,"2 November ,2011",Fukushima,Namie Town,"29 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,51,Not detectable,,"Fukushima Agricultural Technology
Centre",51,ND,demersal,s,f,2011,29
3406,Fukushima,"2 November ,2011",Fukushima,Soma City,"29 October,2011",____,"Fat greenling
(Hexagrammos otakii)",,198,Not detectable,,"Fukushima Agricultural Technology
Centre",198,ND,demersal,s,f,2011,29
3527,Miyagi,"2 November ,2011",Miyagi,"Offshore
Miyagi","26 October,2011",____,"Fat greenling
(Hexagrammos otakii)",Not detectable,,Not detectable,,Japan Chemical Analysis Center,ND,ND,demersal,s,f,2011,26
